Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
Index,num_traf,dd_mm_aaaa,ds_fs_ff,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
D1Y1,1048,01/01/2017,DOM,4,2,3,2,2,2,2,2,2,2,2,2,2,7,4,10,7,10,4,10,9,8,9,8,2,3,7,7,7,7,5,4,7,10,9,3,7,2,9,2,6,10,3,2,9,7,5,6,3,9,5,4,7,5,9,6,10,10,9,2,9,7,4,3,10,7,4,10,9,4,10,9,5,2,10,5,10,5,4,2,9,7,7,6,2,5,6,2,9,4,9,8,4,4,4,6
D2Y1,962,02/01/2017,SEG,3,4,5,2,2,2,2,2,2,2,2,2,2,9,7,8,10,8,8,4,2,4,4,7,2,6,8,9,8,6,8,7,7,8,5,8,7,7,4,10,2,6,4,5,3,6,3,2,7,7,5,8,4,3,5,8,7,6,10,9,10,9,10,6,4,10,5,10,4,9,2,4,5,5,3,10,9,4,2,10,6,6,3,2,5,2,9,9,8,10,9,9,4,3,3,10
D3Y1,1150,03/01/2017,TER,2,4,3,2,2,2,2,2,2,2,2,2,2,7,7,5,3,9,10,3,5,3,6,5,5,4,8,10,8,6,8,6,4,10,5,6,8,3,5,7,8,2,8,2,6,5,4,6,8,7,4,6,4,6,6,7,8,3,6,4,2,6,3,5,10,8,8,3,3,3,5,4,4,8,5,3,4,6,3,9,4,8,4,8,6,7,10,8,4,7,7,5,3,3,2,7
D4Y1,685,04/01/2017,QUA,3,4,4,2,2,2,2,2,2,2,2,2,2,2,9,5,5,8,7,8,10,7,4,4,10,2,5,2,4,8,2,9,8,6,10,7,5,5,7,7,8,3,7,9,10,7,9,2,4,10,8,4,10,3,7,9,8,6,6,8,10,3,7,6,10,7,2,10,3,2,2,8,4,5,4,8,6,8,7,5,8,3,4,2,10,6,6,4,6,6,8,10,5,9,8,5
D5Y1,1017,05/01/2017,QUI,5,4,2,2,2,2,2,2,2,2,2,2,2,5,6,6,3,6,2,9,10,4,7,3,2,2,2,4,3,10,2,3,9,8,8,2,4,2,7,3,8,4,3,9,5,10,6,2,6,3,5,10,9,7,2,6,7,2,7,3,8,2,8,8,8,9,7,5,3,5,8,8,10,9,9,8,8,7,2,5,4,7,10,2,7,2,4,9,5,7,10,2,7,7,7,10
D6Y1,770,06/01/2017,SEX,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,9,3,6,4,7,8,4,6,7,4,5,6,2,6,7,7,3,8,7,8,3,2,10,5,2,3,7,7,8,5,3,4,9,10,9,9,3,7,6,2,8,5,3,3,5,5,9,7,10,5,5,2,3,10,2,7,6,10,4,7,9,5,8,7,8,10,5,9,3,3,6,6,2,3,4,9,9,10,10,7,7
D7Y1,1125,07/01/2017,SÁB,3,2,4,2,2,2,2,2,2,2,2,2,2,9,3,8,5,2,6,5,7,2,2,5,4,6,3,9,2,10,3,3,8,5,10,4,5,9,8,8,8,10,10,6,4,4,2,7,9,6,6,9,3,9,2,9,2,10,10,9,4,9,5,5,2,5,7,9,9,8,6,10,5,5,9,5,10,4,6,10,3,4,3,2,3,4,3,4,7,7,6,3,7,9,10,7
D8Y1,1105,08/01/2017,DOM,3,5,3,2,2,2,2,2,2,2,2,2,2,10,8,9,5,7,6,7,6,9,6,2,4,5,10,6,10,2,2,4,10,3,4,9,8,10,4,9,6,6,9,10,4,4,4,4,10,3,6,7,6,7,6,3,9,6,6,9,7,2,2,7,5,6,5,4,3,9,10,10,4,10,8,8,10,3,4,9,2,8,5,8,3,10,10,10,8,10,5,9,10,3,4,7
D9Y1,1104,09/01/2017,SEG,4,5,5,2,2,2,2,2,2,2,2,2,2,8,8,2,6,6,5,9,10,7,3,7,7,2,3,10,5,10,5,2,2,2,8,3,5,10,9,8,3,8,5,9,8,4,5,6,4,4,6,8,2,10,2,5,10,5,2,2,5,6,7,4,9,8,3,10,6,7,9,8,10,4,3,7,8,6,9,10,3,8,6,2,5,7,5,8,6,3,4,9,3,8,7,4
